Que signifie l'acronyme TRACFIN ?,Traitement du renseignement et action contre les circuits financiers clandestins.
À quel ministère le service TRACFIN est-il administrativement rattaché ?,"Le ministère de l'Économie, des Finances et de l'Industrie."
"Selon l'article L. 561-15 du CMF, quel est le critère de gravité d'une infraction (hors terrorisme) déclenchant l'obligation de déclaration ?",L'infraction doit être passible d'une peine privative de liberté supérieure à $1$ an.
Le Conseil d'État confirme-t-il que l'obligation déclarative se limite aux seuls soupçons de blanchiment ?,"Non, elle englobe toutes les infractions passibles de plus d'$1$ an de prison, le financement du terrorisme et la fraude fiscale."
Sous quelle condition de seuil la fraude fiscale est-elle soumise à l'obligation déclarative selon le II de l'article L. 561-15 ?,Lorsqu'il y a présence d'au moins un critère défini par décret.
Vrai ou Faux : L'obligation de déclaration à TRACFIN remplace les obligations de vigilance à l'égard de la clientèle.,"Faux, elle est complémentaire des obligations de vigilance."
"Quelle est la nature de l'interprétation juridique des dispositions établissant les obligations déclaratives, selon le Conseil d'État ?","Une interprétation stricte, car leur méconnaissance peut donner lieu à des sanctions."
Quel texte européen impose aux entités assujetties d'informer la cellule de renseignement financier en cas de soupçon de fonds provenant d'une activité criminelle ?,La directive (UE) 2015/849 du 20 mai 2015.
Pourquoi le Conseil d'État estime-t-il qu'une modification législative de l'article L. 561-15 n'est pas nécessaire en 2025 ?,Car les termes actuels incluent déjà clairement les infractions sous-jacentes au-delà du simple blanchiment.
"Dans le secteur immobilier, à quel moment précis le mandataire doit-il commencer l'évaluation des risques TRACFIN ?",Avant toute signature de mandat.
"Pour une personne morale, quel est le seuil de détention du capital ($%$) imposant l'identification de l'actionnaire ?",Plus de $25\%$ du capital.
Citez un critère d'alerte lié au profil de l'acquéreur (personne physique) lors d'une transaction immobilière.,Une incohérence entre le montant de l'apport/flux et le profil de l'acquéreur.
Quel risque spécifique présente un client qui est systématiquement représenté lors des étapes d'une opération immobilière ?,Un risque de blanchiment dû à l'absence physique du client.
Pourquoi les entreprises nouvellement créées avec des fonds importants sont-elles ciblées par la vigilance TRACFIN ?,La jeunesse de la structure associée à des fonds élevés est un signal d'alerme potentiel.
Comment l'interface de déclaration TRACFIN a-t-elle évolué en 2023 pour les professionnels ?,Elle propose désormais un tronc commun et des modules spécifiques à chaque métier.
Quelle protection légale bénéficie au notaire effectuant une déclaration de bonne foi vis-à-vis du code pénal ?,Il bénéficie d'une immunité contre les poursuites pour violation du secret professionnel (Art. 226-13).
Qui assume la responsabilité financière en cas de préjudice direct résultant d'une déclaration de soupçon faite de bonne foi ?,L'État.
Vrai ou Faux : Une déclaration à TRACFIN doit obligatoirement être accompagnée d'une plainte au Procureur de la République par le déclarant.,"Faux, la déclaration TRACFIN repose sur le soupçon, tandis que la saisine du Procureur repose sur la certitude."
Qu'advient-il de la déclaration faite par un professionnel si TRACFIN saisit ultérieurement le procureur de la République ?,La déclaration ne figure pas au dossier de la procédure judiciaire.
Quel type de financement immobilier hors circuit classique doit attirer l'attention des mandataires ?,Le financement par un prêt non bancaire.
Définition : Personne Politiquement Exposée (PPE),"Individu exerçant ou ayant exercé des fonctions publiques importantes, considéré comme présentant un risque plus élevé de corruption."
Citez deux secteurs d'activité de personnes morales jugés 'sensibles' par la DGCCRF dans la lutte LCB-FT.,"Le BTP et la restauration rapide (ou hôtellerie, sociétés de surveillance)."
Quelle est la conséquence d'un montage financier jugé 'complexe ou sans justification économique' ?,Il constitue une obligation de vigilance accrue et potentiellement une déclaration de soupçon.
Le notaire peut-il effectuer une déclaration TRACFIN après l'exécution d'une opération ?,"Oui, si le soupçon est né postérieurement ou s'il était impossible de surseoir à l'opération."
Quel organisme publie les listes de pays à risque utilisées par les mandataires immobiliers pour leur évaluation ?,Le GAFI (Groupe d'action financière).
"En matière d'immobilier commercial, quelle structure est souvent suspectée d'être utilisée pour le blanchiment ?",Les sociétés écrans (ou les fonds d'investissement domiciliés à l'étranger).
Quel document administratif encadre les obligations des conseillers iad en matière de LBC-FT ?,"La loi Tracfin, complétée par les lignes directrices de la DGCCRF."
Vrai ou Faux : Un prix de vente anormalement bas peut être un indicateur de blanchiment d'argent.,Vrai.
Quelle est la forme recommandée pour une déclaration de soupçon par un notaire ?,La forme écrite (bien que la forme verbale soit possible).
Quel article du Code de justice administrative permet au Gouvernement de recueillir l'avis consultatif du Conseil d'État ?,L'article L. 112-2 du code de justice administrative.
"Dans le cadre de l'examen renforcé, quel article du CMF impose une déclaration en cas de doute persistant ?",L'article L. 561-10-2 du code monétaire et financier.
Quelle était la limite initiale du champ des infractions déclarables lors de la création de TRACFIN en 1990 ?,Le trafic de stupéfiants.
"L'obligation de déclaration porte sur les sommes dont les professionnels 'savent, soupçonnent ou ont de _____' qu'elles proviennent d'une infraction.",bonnes raisons de soupçonner
Citez un signe suspect concernant le gérant d'une personne morale lors d'une transaction.,Un gérant très jeune ou très âgé (risque de prête-nom).
Pourquoi l'immobilier de prestige est-il considéré comme un secteur particulièrement sensible ?,"En raison des transactions concernant des biens de très forte valeur, propices au blanchiment de capitaux importants."
Quel dispositif iad permet aux conseillers de résoudre des cas réels de blanchiment pour s'entraîner ?,Un parcours de 4 modules e-learning incluant des cas pratiques.
Un professionnel peut-il être sanctionné disciplinairement pour avoir fait une déclaration TRACFIN de bonne foi ?,"Non, aucune sanction professionnelle ne peut être prononcée dans ce cas."
Quel type de flux financier sur un compte privé doit alerter un mandataire immobilier ?,Des flux à caractère professionnel.
La déclaration de soupçon doit être suffisamment _____ pour permettre une exploitation efficace par TRACFIN.,explicite et précise
Quelle autorité de régulation publie les lignes directrices pour les prestataires de services d'investissement (PSI) concernant TRACFIN ?,L'AMF (Autorité des marchés financiers).
L'obligation de vigilance s'applique 'avant toute signature de mandat' et 'tout au long de la _____' .,relation d'affaires
Quel est l'objectif des 'modules spécifiques par métier' dans le nouveau formulaire TRACFIN de 2023 ?,Impliquer davantage les déclarants en adaptant les questions à leur réalité professionnelle.
Quel service de l'État peut sanctionner un agent immobilier en cas de défaut de vigilance TRACFIN ?,La DGCCRF.
"Pour les personnes physiques, quel élément doit être cohérent avec le train de vie du client ?",Les revenus déclarés.
"Vrai ou Faux : Les agents mandataires immobiliers, bien que n'ayant pas la carte T, sont soumis aux obligations TRACFIN.","Vrai, car ils interviennent comme intermédiaires dans des opérations immobilières."
Comment appelle-t-on l'utilisation d'une tierce personne pour masquer l'identité réelle du bénéficiaire d'une opération ?,Le recours à un prête-nom.
La loi n° $90-614$ du 12 juillet 1990 est le texte fondateur de quel service de renseignement ?,TRACFIN.
